index,speaker,file,rec_date,word,time,word_duration,c1_duration,vowel_duration,closure_duration,rvot,c2_duration,v2_duration,sentence_duration,v_onset,v_offset
1,it01,it01-001,29/11/2016 15:10:47,pugu,1.350023,409.99999999999994,139.77882115703366,95.23720162874638,58.36012695337778,26.62385026084224,84.98397721422002,89.99999999999986,1.6349200000000002,1.4898018211570336,1.58503902278578
2,it01,it01-002,29/11/2016 15:10:52,pada,3.964943,360.00000000000034,95.85063382977398,138.96844304339862,67.88341473179128,7.297508395036623,75.1809231268279,49.99999999999982,1.5950119999999997,0.9377097336030165,1.076678176646415
3,it01,it01-003,29/11/2016 15:10:57,poco,6.450023,400.00000000000034,120.00000000000011,126.93225540365293,53.65173042898963,49.41601416735786,103.0677445963475,49.99999999999982,1.6599089999999999,1.1365536122448976,1.2634858676485505
4,it01,it01-004,29/11/2016 15:11:03,pata,9.14,399.9999999999986,92.50111671152084,127.49888328847803,81.97840095690978,18.02159904309164,100.00000000000142,79.9999999999983,1.5899319999999992,1.0358571257818152,1.1633560090702932
5,it01,it01-005,29/11/2016 15:11:08,boco,11.83,390.00000000000057,99.99999999999964,132.3331028787518,61.62323746060672,46.04365966064172,107.66689712124844,50.00000000000071,1.579955,1.0746712018140574,1.2070043046928092
6,it01,it01-006,29/11/2016 15:11:14,podo,14.664966,380.0000000000008,104.75132611019333,125.2486738898071,49.08781490225422,20.91218509774606,70.00000000000028,80.00000000000007,1.58,1.08155406080407,1.206802734693877
7,it01,it01-007,29/11/2016 15:11:19,boto,17.494966,389.99999999999704,106.98203223184777,134.10905510228943,76.52751713530392,32.381395530556745,108.90891266586067,39.99999999999915,1.5849890000000002,1.1273902091025967,1.2614992642048861
8,it01,it01-008,29/11/2016 15:11:25,paca,20.034989,359.99999999999943,89.756541389022,118.56017914839967,60.517213607717224,31.166065854861813,91.68327946257904,59.99999999999872,1.584942999999999,0.9218430470579548,1.0404032262063545
9,it01,it01-009,29/11/2016 15:11:30,bodo,22.634989,359.99999999999943,98.4718191516123,130.22183611381877,--undefined--,--undefined--,--undefined--,70.00000000000028,1.519954000000002,0.9647533361584131,1.0949751722722318
10,it01,it01-010,29/11/2016 15:11:35,pucu,25.144966,429.9999999999997,137.24370201516933,99.12408420603924,64.22421934486522,59.40799443392564,123.63221377879086,70.00000000000028,1.614965999999999,0.9825271623326266,1.0816512465386658
11,it01,it01-011,29/11/2016 15:11:40,paga,27.935011,350.0000000000014,83.85054013777093,139.9398835849972,53.5564303034235,12.653145973807511,66.20957627723101,60.000000000002274,1.5849440000000001,1.1533740117930975,1.2933138953780947
12,it01,it01-012,29/11/2016 15:11:46,bada,30.625011,370.000000000001,89.99999999999986,140.00000000000057,71.37629684182656,8.623703158171736,79.9999999999983,60.000000000002274,1.5849440000000001,1.0399089591836734,1.179908959183674
13,it01,it01-013,29/11/2016 15:11:52,bogo,33.485011,380.00000000000256,100.00000000000142,137.35512878641742,62.55118725924547,10.093683954337962,72.64487121358343,70.00000000000028,1.5699320000000014,1.0770744920634954,1.2144296208499128
14,it01,it01-014,29/11/2016 15:11:57,putu,36.319955,399.9999999999986,128.02859274407297,110.78561493421546,75.28968604829345,15.896106273416422,91.18579232170987,70.00000000000028,1.5949659999999994,1.2581423229028061,1.3689279378370216
15,it01,it01-015,29/11/2016 15:12:03,bata,39.015011,379.99999999999545,79.9999999999983,130.00000000000256,87.83139122409267,12.168608775908751,100.00000000000142,69.99999999999318,1.5499320000000054,1.002675399092972,1.1326753990929745
16,it01,it01-016,29/11/2016 15:12:08,bucu,41.494966,399.9999999999986,104.5961455346145,105.92659673534399,64.07831336393599,45.39894436610581,109.4772577300418,79.9999999999983,1.469932,1.0807412838566108,1.1866678805919548
17,it01,it01-017,29/11/2016 15:12:13,baca,44.370023,379.99999999999545,89.9999999999963,140.86287298953692,58.114920359784605,41.02220665068046,99.13712701046506,49.99999999999716,1.5999089999999967,1.085147716553287,1.226010589542824
18,it01,it01-018,29/11/2016 15:12:19,butu,47.134989,410.0000000000037,115.54240094915258,125.36266953081565,74.95547369859423,4.139455821437821,79.09492952003205,90.00000000000341,1.5399540000000016,1.1473114463006269,1.2726741158314425
19,it01,it01-019,29/11/2016 15:12:24,bugu,49.944989,420.0000000000017,116.62205121398728,119.53184769217984,64.84547380230765,9.000627291527508,73.84610109383516,109.99999999999943,1.6049429999999987,1.0558967654997033,1.1754286131918832
20,it01,it01-020,29/11/2016 15:12:30,pudu,52.600023,399.9999999999986,134.95755482943395,114.67282949330837,--undefined--,--undefined--,--undefined--,79.9999999999983,1.634875000000001,1.0705814618589145,1.1852542913522228
21,it01,it01-021,29/11/2016 15:12:36,baga,55.434989,339.9999999999963,89.9999999999963,138.4308343598093,49.668249582992985,11.900916057200561,61.569165640193546,49.99999999999716,1.5599539999999976,1.259954986394554,1.3983858207543634
22,it01,it01-022,29/11/2016 15:12:42,pogo,58.204989,380.00000000000256,120.00000000000455,128.30104529314212,61.538581643333146,10.160373063520467,71.69895470685361,60.000000000002274,1.5949659999999994,1.2271205192743793,1.3554215645675214
23,it01,it01-023,29/11/2016 15:12:47,budu,61.084989,399.9999999999986,121.01511812016952,132.16529500923713,60.92938601415199,5.890200856441652,66.81958687059364,79.9999999999983,1.6199089999999998,1.194031329004524,1.326196624013761
24,it01,it01-024,29/11/2016 15:12:53,poto,64.010023,399.9999999999915,110.46722672293185,135.08047504728893,68.69338236737121,25.758915862397203,94.45229822976842,60.000000000002274,1.654875000000004,1.1828031518930047,1.3178836269402936
