index,speaker,file,rec_date,word,time,word_duration,c1_duration,vowel_duration,closure_duration,rvot,c2_duration,v2_duration,sentence_duration,v_onset,v_offset
1,pl04,pl04-001,26/05/2017 17:55:20,poto,1.539977,348.95507238220233,90.00000000000009,79.21341113081604,81.99604149943896,18.79054736974495,100.7865888691839,78.95507238220235,1.115012,1.629977,1.709190411130816
2,pl04,pl04-002,26/05/2017 17:55:24,pugu,4.836828556787224,368.19539932946645,118.13744321277575,70.00000000000028,75.51995201220319,14.480047987796674,89.99999999999986,90.05795611669055,1.0699769999999997,1.6112925306122445,1.6812925306122448
3,pl04,pl04-003,26/05/2017 17:55:28,poko,7.144966,317.394920125543,104.51537406345501,73.69000337503273,63.33925942596874,18.4553631355433,81.79462256151204,57.39492012554326,0.9750110000000003,1.328392938689305,1.4020829420643377
4,pl04,pl04-004,26/05/2017 17:55:32,putu,9.499977,338.77095151657244,130.0000000000008,55.72251566924891,69.04362177800927,25.23386255274218,94.27748433075145,58.7709515165713,0.9849890000000006,1.2475733718820852,1.303295887551334
5,pl04,pl04-005,26/05/2017 17:55:36,podo,11.854989,345.12054300408755,120.000000000001,88.46629598221512,52.71853255803549,8.815171459747972,61.533704017783464,75.12054300408799,0.9849879999999995,1.3170298163265297,1.4054961123087448
6,pl04,pl04-006,26/05/2017 17:55:39,pata,14.294943,318.9602466266699,89.99999999999986,87.8155780119183,58.39701892373128,13.787403064350556,72.18442198808184,68.96024662666989,0.9599999999999991,1.3237185102040794,1.4115340882159977
7,pl04,pl04-007,26/05/2017 17:55:43,pogo,16.649902299190458,338.9736292517114,111.10172463768464,73.68991940254688,69.54667460166775,13.779618876593958,83.3262934782617,70.85569173321815,0.9899769999999997,1.377784069179615,1.451473988582162
8,pl04,pl04-008,26/05/2017 17:55:46,puku,18.941533746996555,307.23027935523464,113.45525300344406,45.2614964789646,72.39984152644752,27.931817967790096,100.33165949423761,48.18187037858834,0.9899319999999996,1.314943648526075,1.3602051450050396
9,pl04,pl04-009,26/05/2017 17:55:49,pada,21.055970842819566,344.37440723671386,83.98415718043495,106.47594219845402,43.20053175075955,14.050867169679293,57.251398920438845,96.66290893738605,1,1.3217237074829917,1.4281996496814457
10,pl04,pl04-010,26/05/2017 17:55:53,paka,22.95866207528961,327.3691206329943,97.22983388350315,86.16052114759398,65.99142170906092,18.46856283693299,84.4599845459939,59.51878105590325,0.9599550000000008,0.9621050611005479,1.048265582248142
11,pl04,pl04-011,26/05/2017 17:55:57,pudu,25.534989,328.43952960526224,129.4767472183871,59.51878105590325,58.21279905642385,12.79167266928738,71.00447172571123,68.43952960526067,0.9749200000000009,1.2138535023204255,1.2733722833763288
12,pl04,pl04-012,26/05/2017 17:56:00,paga,28.144989,355.0704225023935,99.69060525811457,104.86642376516286,54.75009031203726,10.692880664684878,65.44297097672214,85.07042250239394,0.994965999999998,1.2979222356436004,1.4027886594087633
13,pl04,pl04-013,26/05/2017 17:56:14,poto,30.610023,308.7044103720267,98.60846006143476,74.82361047027553,59.60610100207475,24.083295256456694,83.68939625853145,51.582943581784946,0.9548749999999977,1.428268648270052,1.5030922587403275
14,pl04,pl04-014,26/05/2017 17:56:18,pugu,32.99034425300086,344.62174699913817,121.30478873667982,64.05346321142247,58.85064299665288,13.705492322486634,72.55613531913951,86.70735973189636,1.3400000000000034,1.4744608331207623,1.5385142963321847
15,pl04,pl04-015,26/05/2017 17:56:21,poko,35.21851957165384,293.9054949853457,98.63090512936878,64.05340390585934,62.82213065956199,30.987332655278976,93.80946331484097,37.41172263527659,0.8800000000000026,1.0793273475315104,1.1433807514373697
16,pl04,pl04-016,26/05/2017 17:56:25,putu,37.37206483151709,311.19751101164184,117.33676644701063,52.71651825880497,68.77718277939948,34.388476608796736,103.16565938819622,37.97856691763002,0.9150109999999998,1.219832436966371,1.2725489552251759
17,pl04,pl04-017,26/05/2017 17:56:29,podo,39.45849439714416,332.1707494586903,103.73250367054965,94.09615087054846,51.49592519947532,7.147023115265938,58.64294831474126,75.69914660285093,0.9399999999999977,1.1680318894768362,1.2621280403473847
18,pl04,pl04-018,26/05/2017 17:56:32,pata,41.62847933237933,315.73226527046216,90.69508517643499,85.59348663525412,62.60201859549852,17.596077213482886,80.1980958089814,59.24559764979165,0.9049890000000005,1.1887435785534919,1.274337065188746
19,pl04,pl04-019,26/05/2017 17:56:36,pogo,43.879955,347.0817771006196,118.07668703011842,81.0587323764409,62.78092839173155,10.908828314121877,73.68975670585343,74.25660098820686,0.9649880000000053,1.1920452924722937,1.2731040248487346
20,pl04,pl04-020,26/05/2017 17:56:40,puku,46.184943,314.4669068796375,126.8030585689246,36.27803407056973,79.49437636963097,27.424530990877827,106.9189073605088,44.466906879634394,0.9150119999999973,1.2998639724011198,1.3361420064716896
21,pl04,pl04-021,26/05/2017 17:56:44,pada,48.60168506850854,316.865953835169,88.42770804702837,103.73250367054254,39.281733718091516,11.861986055798468,51.143719773889984,73.56202234370812,0.944987999999995,1.2169154976440026,1.3206480013145452
22,pl04,pl04-022,26/05/2017 17:56:47,paka,50.82502329951075,325.36861807046336,94.93170048925492,81.92371560479472,64.78150988004927,30.448329555206044,95.22983943525531,53.2833625411584,0.9100219999999979,1.182812142857145,1.2647358584619397
23,pl04,pl04-023,26/05/2017 17:56:51,pudu,53.205363302707326,319.6256972926719,119.62569729267614,59.49709593078012,48.86959348659303,16.88434326631949,65.75393675291252,74.7489673163031,0.8899769999999947,1.4167803832199581,1.4762774791507383
